[25, 0.625, 0.2, [1, 3]]
0;[3, 77];[2, 14];[3, 221];[3, 86];[3, 71];[3, 95];[3, 49];[3, 33];[3, 86];[3, 104];[3, 79];[3, 55];[4, 174];[3, 47];[3, 306];[3, 35];[3, 17];[3, 211];[2, 115];[3, 49];[3, 80];[4, 74];[2, 22];[3, 245];[3, 41];
30;[3, 20];[4, 35];[5, 169];[3, 37];[3, 238];[1, 9];[3, 19];[7, 367];[7, 209];[3, 24];[2, 2];[2, 28];[6, 94];[2, 38];[3, 12];[2, 10];[3, 263];[2, 10];[1, 24];[2, 127];[4, 137];[4, 514];[1, 5];[3, 7];[4, 39];
31;[3, 214];[4, 35];[5, 169];[3, 37];[3, 238];[1, 9];[3, 19];[7, 367];[7, 209];[3, 55];[3, 9];[2, 28];[6, 94];[2, 38];[3, 12];[3, 77];[4, 30];[2, 10];[1, 24];[2, 25];[4, 119];[4, 514];[2, 60];[3, 7];[4, 39];
32;[3, 214];[4, 116];[6, 226];[3, 37];[3, 238];[1, 9];[3, 19];[7, 203];[7, 209];[3, 55];[3, 40];[2, 149];[6, 82];[2, 38];[3, 12];[3, 77];[4, 30];[2, 10];[1, 24];[1, 2];[4, 119];[4, 514];[2, 60];[3, 7];[4, 39];
33;[3, 95];[4, 116];[6, 226];[3, 37];[3, 238];[1, 9];[3, 19];[7, 203];[7, 177];[4, 48];[2, 13];[2, 149];[6, 242];[2, 38];[3, 38];[3, 77];[4, 30];[2, 10];[2, 12];[1, 1];[4, 119];[4, 514];[2, 17];[3, 7];[4, 39];
34;[2, 85];[4, 134];[6, 226];[3, 37];[3, 705];[1, 9];[3, 19];[7, 203];[7, 177];[4, 48];[2, 13];[2, 149];[6, 233];[2, 38];[3, 38];[3, 77];[4, 39];[2, 10];[2, 20];[1, 1];[4, 115];[4, 514];[3, 82];[3, 7];[4, 39];
35;[3, 33];[4, 134];[6, 226];[3, 37];[3, 705];[1, 2];[3, 19];[7, 192];[7, 240];[4, 48];[2, 13];[2, 21];[6, 233];[2, 38];[3, 38];[3, 90];[4, 39];[2, 10];[2, 20];[1, 1];[4, 128];[5, 135];[3, 82];[3, 7];[4, 39];
36;[3, 33];[5, 94];[7, 181];[3, 37];[4, 38];[1, 2];[3, 19];[7, 192];[7, 240];[4, 48];[2, 491];[2, 21];[6, 251];[2, 30];[3, 51];[3, 90];[4, 39];[2, 10];[2, 20];[1, 1];[4, 128];[5, 112];[2, 71];[2, 215];[4, 39];
37;[3, 33];[5, 94];[7, 181];[3, 37];[4, 38];[1, 4];[3, 19];[7, 192];[6, 302];[4, 48];[2, 491];[2, 21];[5, 147];[2, 30];[3, 51];[3, 148];[4, 39];[2, 6];[2, 28];[1, 1];[4, 152];[5, 112];[1, 4];[2, 215];[4, 39];
38;[3, 33];[5, 94];[7, 186];[3, 37];[4, 38];[1, 4];[3, 19];[7, 192];[6, 301];[4, 48];[2, 491];[2, 29];[5, 147];[2, 10];[3, 53];[3, 148];[3, 26];[2, 6];[2, 223];[1, 1];[4, 155];[5, 112];[1, 29];[2, 6];[4, 39];
39;[3, 33];[5, 150];[7, 186];[3, 37];[4, 38];[1, 4];[3, 13];[7, 192];[5, 300];[4, 48];[2, 491];[2, 19];[5, 117];[2, 10];[2, 4];[4, 277];[3, 26];[2, 6];[2, 81];[1, 1];[4, 155];[6, 136];[1, 16];[3, 35];[4, 319];
40;[3, 33];[5, 140];[7, 186];[3, 37];[4, 38];[1, 7];[3, 13];[7, 201];[5, 300];[4, 48];[2, 491];[2, 29];[4, 96];[2, 10];[2, 4];[3, 30];[3, 26];[2, 6];[2, 77];[2, 27];[4, 424];[6, 136];[1, 16];[3, 35];[4, 64];
41;[4, 131];[5, 293];[7, 186];[3, 21];[4, 38];[1, 11];[3, 13];[7, 201];[5, 300];[4, 55];[1, 2];[2, 29];[4, 96];[2, 221];[2, 4];[3, 63];[3, 26];[2, 6];[2, 77];[2, 27];[4, 424];[6, 136];[1, 19];[3, 35];[4, 64];
42;[4, 131];[5, 284];[7, 186];[3, 21];[4, 38];[2, 7];[3, 13];[7, 201];[5, 300];[4, 55];[2, 48];[2, 29];[4, 96];[2, 221];[2, 14];[3, 63];[3, 26];[2, 6];[2, 14];[2, 87];[4, 424];[6, 136];[1, 212];[3, 35];[4, 42];
43;[4, 131];[4, 314];[7, 115];[3, 21];[4, 38];[2, 7];[3, 13];[6, 138];[5, 115];[4, 149];[2, 48];[2, 29];[4, 96];[2, 13];[2, 14];[3, 63];[3, 26];[2, 6];[2, 13];[2, 87];[4, 424];[6, 136];[1, 9];[3, 32];[4, 42];
44;[4, 28];[4, 163];[7, 115];[3, 21];[4, 38];[2, 7];[3, 13];[7, 244];[5, 115];[4, 149];[2, 48];[2, 29];[4, 96];[2, 13];[2, 14];[3, 63];[3, 50];[2, 6];[2, 13];[2, 10];[4, 424];[6, 136];[1, 24];[3, 32];[4, 246];
45;[4, 28];[4, 163];[7, 112];[3, 25];[4, 38];[2, 7];[3, 13];[6, 187];[5, 115];[4, 149];[2, 7];[2, 29];[4, 114];[2, 13];[2, 14];[2, 84];[3, 26];[2, 6];[1, 19];[2, 10];[4, 424];[6, 111];[2, 23];[3, 32];[4, 246];
46;[4, 28];[4, 163];[7, 112];[3, 25];[4, 40];[1, 5];[3, 13];[5, 101];[5, 115];[4, 149];[1, 3];[2, 29];[4, 114];[2, 13];[2, 20];[3, 129];[3, 12];[2, 6];[1, 19];[2, 10];[4, 424];[6, 111];[2, 102];[2, 32];[4, 246];
47;[4, 28];[4, 163];[7, 112];[3, 25];[4, 40];[1, 5];[3, 34];[5, 101];[5, 115];[4, 136];[1, 25];[2, 31];[4, 114];[2, 6];[2, 102];[3, 48];[3, 21];[2, 6];[1, 9];[2, 10];[4, 424];[6, 111];[2, 102];[2, 32];[4, 235];
48;[4, 22];[4, 163];[7, 112];[2, 14];[4, 27];[1, 5];[3, 58];[5, 86];[5, 115];[4, 136];[1, 1];[2, 31];[4, 114];[1, 3];[2, 102];[3, 48];[3, 21];[2, 6];[1, 9];[3, 73];[4, 424];[6, 111];[2, 24];[2, 32];[4, 235];
49;[4, 22];[4, 407];[8, 157];[2, 14];[4, 27];[1, 5];[3, 58];[5, 86];[5, 121];[5, 55];[1, 4];[2, 31];[3, 76];[1, 3];[2, 102];[3, 53];[3, 21];[2, 6];[1, 121];[3, 32];[4, 192];[6, 111];[2, 47];[2, 32];[4, 235];
50;[4, 22];[4, 407];[8, 157];[2, 14];[4, 27];[1, 5];[3, 58];[5, 86];[5, 62];[6, 168];[1, 4];[2, 31];[2, 49];[1, 69];[2, 102];[3, 53];[3, 21];[2, 6];[1, 7];[3, 32];[4, 85];[6, 111];[3, 108];[2, 11];[4, 235];
51;[4, 22];[4, 407];[8, 157];[2, 14];[4, 27];[1, 5];[3, 58];[5, 70];[5, 62];[6, 168];[1, 4];[2, 31];[2, 4];[2, 8];[2, 106];[3, 69];[3, 21];[2, 38];[1, 7];[2, 18];[4, 60];[6, 111];[3, 108];[2, 23];[4, 235];
52;[4, 50];[4, 197];[8, 157];[2, 14];[4, 31];[1, 5];[3, 58];[5, 32];[5, 62];[6, 186];[1, 42];[2, 31];[2, 4];[2, 8];[2, 13];[3, 69];[3, 21];[2, 6];[1, 15];[2, 12];[4, 94];[6, 86];[3, 108];[2, 23];[4, 235];
53;[4, 50];[4, 197];[8, 157];[2, 16];[4, 31];[1, 10];[3, 58];[5, 39];[5, 107];[6, 186];[1, 6];[2, 31];[2, 4];[2, 8];[2, 12];[3, 69];[3, 21];[2, 6];[1, 2];[2, 12];[4, 55];[6, 86];[3, 108];[2, 23];[4, 195];
54;[4, 132];[4, 182];[8, 157];[2, 16];[4, 31];[1, 10];[3, 58];[5, 39];[5, 129];[6, 119];[1, 6];[2, 31];[2, 4];[2, 8];[2, 12];[2, 40];[3, 21];[2, 6];[1, 18];[2, 12];[4, 55];[6, 86];[3, 160];[2, 23];[4, 195];
55;[4, 132];[4, 180];[8, 150];[2, 29];[4, 73];[1, 10];[3, 58];[5, 39];[5, 129];[6, 119];[1, 6];[2, 31];[2, 4];[2, 8];[2, 12];[2, 40];[2, 306];[2, 4];[1, 18];[2, 21];[4, 55];[5, 47];[3, 160];[2, 23];[4, 195];
56;[4, 132];[3, 50];[8, 75];[2, 127];[4, 103];[1, 10];[3, 58];[5, 39];[5, 129];[6, 119];[1, 6];[2, 31];[2, 4];[2, 8];[2, 12];[2, 13];[2, 322];[2, 4];[1, 18];[2, 21];[4, 55];[5, 47];[3, 160];[2, 23];[4, 226];
57;[4, 81];[3, 50];[8, 75];[2, 127];[4, 103];[2, 149];[3, 58];[5, 39];[5, 129];[6, 119];[2, 24];[2, 175];[2, 4];[2, 8];[2, 12];[2, 13];[2, 349];[2, 4];[1, 18];[2, 2];[4, 55];[5, 47];[3, 160];[2, 88];[5, 66];
58;[4, 180];[3, 50];[8, 83];[2, 18];[4, 103];[2, 149];[3, 58];[5, 39];[5, 129];[6, 51];[2, 24];[2, 62];[2, 303];[2, 8];[2, 12];[2, 18];[2, 349];[2, 4];[1, 18];[2, 2];[5, 83];[5, 47];[4, 230];[2, 88];[5, 66];
59;[4, 180];[3, 50];[8, 83];[2, 60];[4, 103];[2, 61];[3, 58];[5, 39];[5, 129];[5, 48];[2, 24];[2, 62];[3, 370];[2, 8];[2, 12];[2, 18];[2, 349];[2, 4];[1, 4];[2, 2];[5, 83];[5, 201];[4, 194];[2, 6];[5, 66];
60;[3, 187];[2, 64];[8, 83];[2, 60];[4, 103];[2, 943];[3, 58];[5, 39];[5, 129];[5, 48];[2, 24];[2, 21];[3, 370];[2, 8];[2, 49];[2, 18];[1, 66];[2, 22];[1, 4];[2, 2];[6, 76];[5, 201];[5, 189];[2, 6];[5, 66];
